"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Andrew Nembhard","Ind","G-F","24.4","17","32.6","17.6","11.2","26","0.769","122","0.598","60","0.483","0.64","0.654","14.9","3.3","5.5","0.4","0.2","1.4","18.2","20.4","23.7","7.9","131","115"
"","Alec Burks","Nyk","G","32.9","6","20.1","23.4","0","32","0.844","22","0.591","28","0.429","0.62","0.694","14.8","3.3","1","0.2","0.2","0","18.2","15.8","19.2","7.3","152.2","113.5"
"","Jalen Suggs","Orl","G","23","7","33.2","21.8","19.5","30","0.767","34","0.559","48","0.292","0.488","0.541","14.7","5.1","3.3","1.3","0.4","2.9","19.9","18","23.1","7.6","103.4","106"
"","Jonas Valanciunas","Nor","C","32.1","4","22.4","29.1","19.1","17","0.824","41","0.537","1","0","0.524","0.586","14.5","11","1.3","0.5","0","2.5","25.5","15.8","26.8","10.6","112.7","101.7"
"","Josh Hart","Nyk","G","29.3","13","42.1","16.5","18.4","48","0.729","91","0.484","59","0.373","0.513","0.552","14.5","11.5","4.5","1","0.8","2.6","26.1","19.1","30.6","8.6","112.7","107.5"
"","Aaron Gordon","Den","F","28.7","12","37.1","15.3","13.2","28","0.821","91","0.637","27","0.407","0.631","0.66","14.3","7.3","4.4","0.8","0.6","1.5","21.6","18.8","26","8.3","133.4","111.6"
"","Brandon Ingram","Nor","F","26.8","4","36.4","21.8","14","19","0.895","47","0.362","8","0.25","0.364","0.45","14.3","4.5","3.3","1","1.3","2.3","18.8","17.5","22","6.6","92.4","111.4"
"","D'Angelo Russell","Lal","G","28.3","5","36.9","20.7","10.9","2","0.5","29","0.483","44","0.318","0.479","0.481","14.2","2.8","4.2","0.8","0.2","1.8","17","18.4","21.2","6","95.6","117"
"","P.J. Washington","Dal","F","25.8","19","36.7","16.8","10.1","49","0.714","93","0.548","121","0.347","0.533","0.558","13.8","6.8","1.4","0.8","0.8","1.3","20.6","15.2","22","5.5","111.1","109.9"
"","Jrue Holiday","Bos","G","34","16","37.9","14.6","12.1","22","0.955","83","0.614","77","0.403","0.609","0.636","13.5","6.1","4.5","1.3","0.6","1.4","19.6","18","24.1","7.6","131.8","109.5"
"","Kristaps Porzingis","Bos","C","28.9","6","24.8","21.7","8.1","20","0.95","29","0.552","27","0.37","0.554","0.625","13.5","5","1.3","0.8","1.8","0.8","18.5","14.8","19.8","7.2","125.6","103.6"
"","Kelly Oubre Jr.","Phi","F-G","28.5","6","37.3","15.8","11.1","11","0.727","41","0.537","23","0.391","0.555","0.574","13.2","4","1.7","1.8","1.2","1.3","17.2","14.8","18.8","4.8","112.6","107.6"
"","Herbert Jones","Nor","G","25.7","4","35.2","17.8","21","12","1","17","0.471","24","0.333","0.488","0.562","13","5","2.5","1.3","0.3","2.8","18","15.5","20.5","6.2","103.7","105.7"
"","Norman Powell","Lac","G","31","6","29.8","19","10.2","15","0.8","32","0.406","29","0.448","0.533","0.57","12.8","2.8","0.3","0.5","0","1.2","15.7","13.2","16","3","107.2","109.6"
"","Jaime Jaquez Jr.","Mia","G","23.3","4","30.6","24.8","11.8","7","0.857","39","0.462","13","0.231","0.433","0.463","12.8","3.3","3","0.8","0.5","1.8","16","15.8","19","6.6","93.1","111.7"
"","Jaden McDaniels","Min","F","23.7","16","33.6","14.6","10.8","35","0.771","84","0.571","56","0.429","0.6","0.627","12.2","3.8","1.1","0.9","1.1","1.1","16","13.3","17.1","4.4","121.5","104.9"
"","Rudy Gobert","Min","C","32","15","34.2","14.4","18.1","79","0.671","104","0.615","0","0","0.615","0.652","12.1","9.8","1.6","0.9","1","1.5","21.9","13.7","23.5","6.7","125.4","99.7"
"","Kawhi Leonard","Lac","F","32.9","2","29.8","22.5","14.1","3","0.667","19","0.579","5","0","0.458","0.474","12","8","2","2","0.5","2","20","14","22","7.7","94","109.1"
"","T.J. McConnell","Ind","G","32.2","17","20.5","27.6","10.2","15","0.867","159","0.522","26","0.269","0.505","0.522","11.8","3.1","5.1","0.9","0.1","1.2","14.8","16.8","19.9","11.1","113.1","114.8"
"","Mike Conley","Min","G","36.7","15","31.6","17","12.1","28","0.714","69","0.464","76","0.395","0.531","0.553","11.6","3.9","5.7","1.4","0.2","1.3","15.5","17.3","21.2","8.1","119.6","104.9"
"","Caleb Martin","Mia","F","28.7","5","35.1","14","6.2","5","1","20","0.5","25","0.44","0.589","0.614","11.6","3.6","1.4","0.6","0","0.6","15.2","13","16.6","4.4","122.6","109.2"
"","Trey Murphy III","Nor","F","24","4","42","14.6","14.3","0","0","18","0.444","30","0.333","0.479","0.479","11.5","6.5","2.3","1.3","1.5","2","18","13.8","20.3","5.3","91.8","108.8"
"","Naz Reid","Min","C-F","24.8","16","22.5","21.4","9","31","0.71","73","0.548","69","0.362","0.546","0.569","11.1","3.7","1","0.5","0.8","0.9","14.8","12.1","15.8","6.1","109.5","104.2"
"","Miles McBride","Nyk","G","23.8","13","26.7","17.8","8.1","12","0.833","56","0.518","68","0.368","0.536","0.553","11","2.2","1.9","0.5","0.2","0.8","13.2","12.9","15.2","5.4","115.2","110.7"
"","Obi Toppin","Ind","F","26.3","17","20.2","21.1","9.4","25","0.76","79","0.671","56","0.357","0.615","0.634","10.9","4.4","1.7","0.4","0.4","0.8","15.3","12.6","17","8.6","121.6","115.7"
"","Luguentz Dort","Okc","F","25.1","10","35","14.4","10.7","19","0.842","27","0.296","64","0.391","0.5","0.538","10.7","4.6","2","1.3","0.2","1.1","15.3","12.7","17.3","5.3","113.4","104.8"
"","Aaron Nesmith","Ind","G-F","24.7","17","32.9","14.6","14","37","0.919","62","0.629","79","0.278","0.511","0.566","10.5","4.9","2.2","0.6","0.5","1.4","15.4","12.6","17.6","5.9","112.1","111.4"
"","Caris LeVert","Cle","G","29.8","11","25.3","21.3","12","26","0.654","69","0.551","33","0.182","0.461","0.489","10.1","3.6","2.3","0.8","0.5","1.3","13.7","12.4","16","6.9","99.4","111.7"
"","Al Horford","Bos","C-F","38","16","30.2","13.2","6.7","9","0.667","39","0.744","86","0.349","0.592","0.597","9.6","7.3","2","0.6","0.9","0.6","16.9","11.6","18.9","6.9","129.6","109.4"
"","Derrick Jones Jr.","Dal","F","27.3","19","31.2","13.5","11","28","0.75","88","0.545","58","0.379","0.555","0.578","9.6","3.7","1.4","0.5","1","0.9","13.4","11","14.7","4.7","116.8","111.9"
"","Max Strus","Cle","F","28.2","12","36.1","12.9","12.7","5","1","31","0.548","72","0.347","0.529","0.542","9.5","5.3","2.9","0.8","0","1.3","14.8","12.4","17.8","5.8","108","106.9"
"","Nikola Jovic","Mia","F","21","5","25.7","17.2","14.2","7","0.857","14","0.5","22","0.409","0.569","0.601","9.4","6.6","2.2","1","0.6","1.2","16","11.6","18.2","8","113.3","104.1"
"","Daniel Gafford","Dal","F-C","25.7","19","21.5","17.4","13.7","59","0.61","113","0.628","0","0","0.628","0.64","9.4","5.9","0.7","0.3","1.6","0.9","15.3","10.1","16","6.3","124.1","108.8"
"","Terance Mann","Lac","G-F","27.6","6","31.2","13.3","9.7","8","1","24","0.375","22","0.455","0.522","0.565","9.3","5","1.8","0","0","0.8","14.3","11.2","16.2","5.6","125.2","112.1"
"","Tobias Harris","Phi","F","31.9","6","36.4","11.8","5.5","4","1","33","0.485","18","0.333","0.49","0.512","9","7.2","1.5","0.2","0.5","0.5","16.2","10.5","17.7","5.1","113.1","113.7"
"","Naji Marshall","Nor","F","26.4","4","21","17","6.6","6","1","13","0.462","15","0.4","0.536","0.587","9","2.8","1.3","0.5","0.5","0.5","11.8","10.3","13","6.1","122.3","106.4"
"","Malik Beasley","Mil","G","27.5","6","21.9","15.4","6.8","0","0","16","0.625","25","0.44","0.646","0.646","8.8","2.5","0.7","0.7","0","0.5","11.3","9.5","12","4.5","119.1","112.5"
"","Josh Giddey","Okc","G","21.7","10","18.1","22.8","13.7","8","0.875","41","0.537","34","0.353","0.533","0.554","8.7","3.6","2.1","0.2","0.4","1.2","12.3","10.8","14.4","8.9","107.9","111.3"
"","Isaiah Hartenstein","Nyk","C-F","26.1","13","29.8","11.9","19.9","22","0.864","74","0.595","2","0.5","0.599","0.642","8.5","7.8","3.5","0.3","0.9","1.5","16.3","12","19.8","8.2","132","106.8"
"","Patrick Beverley","Mil","G","35.9","6","34.9","11.3","13.2","15","0.867","28","0.429","11","0.364","0.462","0.537","8.2","3.3","5.5","1","0.7","1","11.5","13.7","17","6.1","124.5","112.6"
"","Kentavious Caldwell-Pope","Den","G","31.3","12","35","11","10.4","11","1","31","0.516","55","0.327","0.5","0.534","8.1","2.9","2.6","1.4","0.4","0.8","11","10.7","13.6","4.5","111.9","109"
"","Eric Gordon","Pho","G","35.5","4","29.4","14.2","12.4","8","0.875","11","0.182","17","0.412","0.446","0.508","8","1.8","1.3","1.3","0.5","1","9.8","9.3","11","3.6","101.8","116.2"
"","Delon Wright","Mia","G","32.1","4","26.8","9.5","0","2","1","10","0.6","10","0.6","0.75","0.766","8","3","1.8","1","0.3","0","11","9.8","12.8","5.2","160.8","111.1"
"","Jusuf Nurkic","Pho","C","29.8","4","25.9","16.7","18.6","11","0.455","24","0.542","2","0","0.5","0.503","7.8","8.3","2.8","1.5","1.5","1.5","16","10.5","18.8","8.7","111.3","99.7"
"","Rui Hachimura","Lal","F","26.3","5","30.5","13.2","5","8","0.5","24","0.417","14","0.357","0.461","0.47","7.8","3.8","0.8","0","0","0.4","11.6","8.6","12.4","3.8","101.3","115.7"
"","Dereck Lively II","Dal","C","20.3","18","21.4","14.9","19.6","56","0.589","82","0.659","0","0","0.659","0.661","7.8","7.1","1.4","0.3","1.1","1.1","14.9","9.3","16.3","8","128.9","104.8"
"","Wendell Carter Jr.","Orl","C","25.2","7","26.4","13.5","9.6","11","0.727","22","0.545","25","0.28","0.479","0.511","7.6","6.3","1.3","0.7","0.6","0.7","13.9","8.9","15.1","6","109.5","101.3"
"","Taurean Prince","Lal","F","30.2","5","22.2","14","3.3","8","1","12","0.583","17","0.294","0.5","0.569","7.4","2.4","0.6","0.2","0.4","0.2","9.8","8","10.4","4","117.1","111.8"
"","Nickeil Alexander-Walker","Min","F","25.8","16","23.6","15.8","11.8","10","1","31","0.548","81","0.296","0.473","0.498","7.3","1.8","2.3","0.6","0.4","0.9","9","9.6","11.3","5.3","103.3","109.1"
"","Kyle Lowry","Phi","G","38.2","6","29.3","11.2","11","15","0.8","8","0.375","24","0.333","0.469","0.544","7","3.5","4","1","0.7","0.7","10.5","11","14.5","6.3","128.1","105.2"
"","Payton Pritchard","Bos","G","26.4","16","20.1","14.9","12.2","12","0.917","35","0.486","51","0.412","0.564","0.592","6.8","2.1","2.3","0.3","0","0.8","8.8","9","11.1","6.4","124.4","111.9"
"","Markelle Fultz","Orl","G","26","7","15.1","19.1","18.9","9","0.556","33","0.606","1","0","0.588","0.593","6.4","2","1.1","0.4","0","1.1","8.4","7.6","9.6","6.4","107.7","103.8"
"","Isaiah Joe","Okc","G","24.9","10","17.3","15.5","8.5","0","0","15","0.533","39","0.41","0.593","0.593","6.4","2.2","1","0.5","0","0.5","8.6","7.4","9.6","5.6","114.6","111.4"
"","Russell Westbrook","Lac","G","35.6","6","19","26.3","16.6","13","0.615","33","0.273","17","0.235","0.3","0.341","6.3","4.2","1.7","1.2","0.5","1.7","10.5","8","12.2","7.5","75.3","105.9"
"","Nicolas Batum","Phi","G-F","35.5","6","28.3","10.2","14.6","8","0.625","7","0.429","22","0.409","0.569","0.584","6.3","5.8","1.3","0.2","0.8","0.8","12.2","7.7","13.5","5.1","118.4","110.7"
"","Larry Nance Jr.","Nor","F-C","31.4","4","21.1","13.8","28.8","6","0.667","13","0.692","4","0.25","0.618","0.636","6.3","8.3","1.8","0.5","0","1.8","14.5","8","16.3","8.6","120","103.1"
"","Jonathan Isaac","Orl","F","26.7","7","21","13.1","9.2","2","1","12","0.5","27","0.37","0.538","0.552","6.3","4.9","0.4","0.7","1.3","0.6","11.1","6.7","11.6","4.4","112.8","108.1"
"","Moritz Wagner","Orl","F-C","27.1","7","15","21.5","18.1","17","0.588","27","0.519","9","0.222","0.472","0.506","6.3","4.4","0.3","0.9","0.4","1.1","10.7","6.6","11","5.4","97.7","89.2"
"","Aaron Wiggins","Okc","G","25.4","10","15.7","17.7","16","11","0.909","27","0.63","20","0.3","0.553","0.598","6.2","3.2","1","0.6","0.3","0.9","9.4","7.2","10.4","6.9","113.8","110.1"
"","Marcus Morris Sr.","Cle","F","34.8","9","15.3","17.7","5.8","3","0.667","25","0.52","23","0.391","0.552","0.558","6.1","2.8","0.3","0.4","0","0.3","8.9","6.4","9.2","4.5","106.3","109.4"
"","Thomas Bryant","Mia","C-F","26.9","2","8.9","28.4","21.5","3","0.667","5","1","2","0","0.714","0.721","6","2.5","0.5","0","0","1","8.5","6.5","9","8.8","118.1","110.3"
"","Bojan Bogdanovic","Nyk","F","35.1","4","12.7","24.4","4","7","0.571","9","0.111","15","0.4","0.417","0.443","6","3","1","0","0.3","0.3","9","7","10","8.3","102.8","110.4"
"","Patty Mills","Mia","G","35.8","3","17.2","18.8","5.5","4","0.75","6","0.5","11","0.273","0.441","0.48","6","0.3","1","0.3","0","0.3","6.3","7","7.3","2.8","102.8","115.7"
"","Drew Eubanks","Pho","F-C","27.4","3","12.5","19.2","13.9","3","1","12","0.583","0","0","0.583","0.638","5.7","1.3","0","0.7","0.3","0.7","7","5.7","7","0","108.7","100.9"
"","Cameron Payne","Phi","G","29.8","5","12.2","21.1","10.7","0","0","7","0.286","18","0.444","0.56","0.56","5.6","1.2","1.4","0.2","0.8","0.6","6.8","7","8.2","6.9","109.7","102.1"
"","P.J. Tucker","Lac","F","39.1","2","15.3","13.4","33.3","0","0","2","0.5","4","0.75","0.917","0.917","5.5","1.5","0","0","0","1.5","7","5.5","7","0","114.5","103.6"
"","Isaac Okoro","Cle","F","23.4","12","21.9","15.1","13.5","9","0.778","35","0.457","35","0.257","0.421","0.446","5.5","1.8","1.1","0.9","0.3","0.9","7.3","6.6","8.3","4","88.8","105.4"
"","Buddy Hield","Phi","G","31.5","4","12.8","18","10.3","2","1","4","0.25","13","0.462","0.588","0.615","5.5","1.3","0.5","0","0.3","0.5","6.8","6","7.3","4.8","117.8","114"
"","Precious Achiuwa","Nyk","F","24.7","9","20.5","12.6","8.5","13","0.385","40","0.525","3","0","0.488","0.482","5.2","4.2","0.6","0.4","1.3","0.4","9.4","5.8","10","4.6","111.6","107.2"
"","Ben Sheppard","Ind","G","22.9","17","19.7","11.6","13.4","9","0.778","21","0.571","50","0.38","0.57","0.587","5.2","3","1","0.5","0.1","0.6","8.2","6.2","9.2","5.1","112.8","113.5"
"","Cole Anthony","Orl","G","24.1","7","14.7","21.3","10.8","9","0.889","28","0.393","13","0.154","0.341","0.4","5.1","2.1","1.3","0.6","0.1","0.7","7.3","6.4","8.6","6.5","88.1","96.9"
"","Christian Braun","Den","G","23.1","12","17","13.9","1.8","16","0.688","36","0.528","18","0.222","0.463","0.5","5.1","2.7","0.8","0.2","0.4","0.1","7.8","5.8","8.5","5.2","115","109.6"
"","Royce O'Neale","Pho","F","31","4","26.1","10.8","8.3","0","0","4","0.25","18","0.333","0.455","0.455","5","4.8","1","0.3","0","0.5","9.8","6","10.8","4.4","103.5","108.8"
"","Haywood Highsmith","Mia","F","27.5","5","25.1","12.6","12.3","1","1","12","0.583","16","0.188","0.411","0.422","4.8","2.8","1.6","0.2","0.2","0.8","7.6","6.4","9.2","4.4","89.1","105.6"
"","Josh Green","Dal","G","23.6","19","17.7","11.7","8.7","16","0.813","21","0.524","52","0.346","0.521","0.556","4.7","2.4","1.1","0.8","0.2","0.4","7.1","5.7","8.2","5.2","121","110.7"
"","Pat Connaughton","Mil","G","31.4","6","20.7","10.7","10.5","2","1","14","0.571","11","0.273","0.5","0.522","4.5","3.8","2.2","1","0.2","0.5","8.3","6.7","10.5","6.5","116.5","112.2"
"","Sam Hauser","Bos","F","26.5","16","14.5","14.1","4.3","4","1","11","0.636","55","0.327","0.515","0.531","4.5","1.9","0.6","0.3","0.2","0.2","6.4","5.1","7","4.8","111.9","108.4"
"","Jaden Hardy","Dal","G","21.9","16","6.8","29.8","9","13","0.769","35","0.457","25","0.4","0.517","0.548","4.5","0.8","0.8","0.2","0","0.4","5.3","5.3","6.1","8.4","109.3","108.7"
"","Jaylin Williams","Okc","F","21.9","10","12.7","13.6","8.3","4","0.75","11","0.636","22","0.409","0.621","0.633","4.4","3.2","1.5","0.4","0.3","0.3","7.6","5.9","9.1","8.7","132.4","104"
"","Kyle Anderson","Min","F-G","30.7","15","15.4","14.2","14.8","12","0.833","49","0.49","8","0.25","0.474","0.514","4.3","2.7","2.5","0.7","0.3","0.7","6.9","6.8","9.5","8","119.5","101.6"
"","Tim Hardaway Jr.","Dal","G-F","32.2","11","12.5","16.6","4.2","8","0.5","19","0.474","26","0.308","0.467","0.474","4.2","1.7","0.4","0.5","0.1","0.2","5.9","4.5","6.3","4.5","98.6","113"
